"id","code","name"
"ocupacao_280","214320","Engenheiro eletricista de projetos"
"ocupacao_281","214325","Engenheiro eletrônico de manutenção"
"ocupacao_282","214330","Engenheiro eletrônico de projetos"
"ocupacao_283","214335","Engenheiro de manutenção de telecomunicações"
"ocupacao_284","214340","Engenheiro de telecomunicações"
"ocupacao_285","214345","Engenheiro projetista de telecomunicações"
"ocupacao_286","214350","Engenheiro de redes de comunicação"
"ocupacao_287","214355","Engenheiro de controle e automação"
"ocupacao_288","214360","Tecnólogo em eletricidade"
"ocupacao_289","214430","Engenheiro naval"
"ocupacao_290","214420","Engenheiro mecânico industrial"
"ocupacao_291","214415","Engenheiro mecânico (energia nuclear)"
"ocupacao_292","214410","Engenheiro mecânico automotivo"
"ocupacao_293","214405","Engenheiro mecânico"
"ocupacao_294","214425","Engenheiro aeronáutico"
"ocupacao_295","214435","Tecnólogo em fabricação mecânica"
"ocupacao_296","214510","Engenheiro químico (indústria química)"
"ocupacao_297","214530","Engenheiro químico (utilidades e meio ambiente)"
"ocupacao_298","214525","Engenheiro químico (petróleo e borracha)"
"ocupacao_299","214505","Engenheiro químico"
"ocupacao_300","214535","Tecnólogo em produção sulcroalcooleira"
"ocupacao_301","214515","Engenheiro químico (mineração, metalurgia, siderurgia, cimenteira e cerâmica)"
"ocupacao_302","214520","Engenheiro químico (papel e celulose)"
"ocupacao_303","214615","Tecnólogo em metalurgia"
"ocupacao_304","214605","Engenheiro de materiais"
"ocupacao_305","214610","Engenheiro metalurgista"
"ocupacao_306","214750","Tecnólogo em rochas ornamentais"
"ocupacao_307","214745","Tecnólogo em petróleo e gás"
"ocupacao_308","214740","Engenheiro de minas (projeto)"
"ocupacao_309","214735","Engenheiro de minas (processo)"
"ocupacao_310","214730","Engenheiro de minas (planejamento)"
"ocupacao_311","214725","Engenheiro de minas (pesquisa mineral)"
"ocupacao_312","214720","Engenheiro de minas (lavra subterrânea)"
"ocupacao_313","214715","Engenheiro de minas (lavra a céu aberto)"
"ocupacao_314","214705","Engenheiro de minas"
"ocupacao_315","214710","Engenheiro de minas (beneficiamento)"
"ocupacao_316","214805","Engenheiro agrimensor"
"ocupacao_317","214810","Engenheiro cartógrafo"
"ocupacao_318","214910","Engenheiro de controle de qualidade"
"ocupacao_319","214920","Engenheiro de riscos"
"ocupacao_320","214925","Engenheiro de tempos e movimentos"
"ocupacao_321","214930","Tecnólogo em produção industrial"
"ocupacao_322","214905","Engenheiro de produção"
"ocupacao_323","214935","Tecnólogo em segurança do trabalho"
"ocupacao_324","214915","Engenheiro de segurança do trabalho"
"ocupacao_325","215145","Prático de portos da marinha mercante"
"ocupacao_326","215140","Oficial de quarto de navegação da marinha mercante"
"ocupacao_327","215135","Inspetor naval"
"ocupacao_328","215150","Vistoriador naval"
"ocupacao_329","215130","Inspetor de terminal"
"ocupacao_330","215110","Capitão de manobra da marinha mercante"
"ocupacao_331","215115","Comandante da marinha mercante"
"ocupacao_332","215120","Coordenador de operações de combate à poluição no meio aquaviário"
"ocupacao_333","215125","Imediato da marinha mercante"
"ocupacao_334","215105","Agente de manobra e docagem"
"ocupacao_335","215220","Superintendente técnico no transporte aquaviário"
"ocupacao_336","215215","Segundo oficial de máquinas da marinha mercante"
"ocupacao_337","215205","Oficial superior de máquinas da marinha mercante"
"ocupacao_338","215210","Primeiro oficial de máquinas da marinha mercante"
"ocupacao_339","215305","Piloto de aeronaves"
"ocupacao_340","215310","Piloto de ensaios em vôo"
"ocupacao_341","215315","Instrutor de vôo"
"ocupacao_342","221105","Biólogo"
"ocupacao_343","221205","Biomédico"
"ocupacao_344","222120","Engenheiro florestal"
"ocupacao_345","222115","Engenheiro de pesca"
"ocupacao_346","222110","Engenheiro agrônomo"
"ocupacao_347","222105","Engenheiro agrícola"
"ocupacao_348","222215","Tecnólogo em alimentos"
"ocupacao_349","222205","Engenheiro de alimentos"
"ocupacao_350","223224","Cirurgião dentista - implantodontista"
"ocupacao_351","223228","Cirurgião dentista - odontogeriatra"
"ocupacao_352","223232","Cirurgião dentista - odontologista legal"
"ocupacao_353","223236","Cirurgião dentista - odontopediatra"
"ocupacao_354","223240","Cirurgião dentista - ortopedista e ortodontista"
"ocupacao_355","223244","Cirurgião dentista - patologista bucal"
"ocupacao_356","223248","Cirurgião dentista - periodontista"
"ocupacao_357","223252","Cirurgião dentista - protesiólogo bucomaxilofacial"
"ocupacao_358","223256","Cirurgião dentista - protesista"
"ocupacao_359","223260","Cirurgião dentista - radiologista"
"ocupacao_360","223264","Cirurgião dentista - reabilitador oral"
"ocupacao_361","223268","Cirurgião dentista - traumatologista bucomaxilofacial"
"ocupacao_362","223272","Cirurgião dentista de saúde coletiva"
"ocupacao_363","223276","Cirurgião dentista - odontologia do trabalho"
"ocupacao_364","223280","Cirurgião dentista - dentística"
"ocupacao_365","223216","Cirurgião dentista - epidemiologista"
"ocupacao_366","223212","Cirurgião dentista - endodontista"
"ocupacao_367","223208","Cirurgião dentista - clínico geral"
"ocupacao_368","223204","Cirurgião dentista - auditor"
"ocupacao_369","223288","Cirurgião dentista - odontologia para pacientes com necessidades especiais"
"ocupacao_370","223293","Cirurgião-dentista da estratégia de saúde da família"
"ocupacao_371","223284","Cirurgião dentista - disfunção temporomandibular e dor orofacial"
"ocupacao_372","223220","Cirurgião dentista - estomatologista"
"ocupacao_373","223305","Médico veterinário"
"ocupacao_374","223310","Zootecnista"
"ocupacao_375","223405","Farmacêutico"
"ocupacao_376","223410","Farmacêutico bioquímico"
"ocupacao_377","223515","Enfermeiro de bordo"
"ocupacao_378","223520","Enfermeiro de centro cirúrgico"
